클래스명,어노테이션,접근자,반환타입,메서드 이름,파라미터,비고,,클래스명: 해당 메서드가 속한 클래스명
"@Configuration
MapperConfig",이 내용은 기존 파일을 복사,,"@GetMapping(""/"")",,,,,
"@Configuration
SecurityConfig",당장은 안씀,,"@PostMapping(""/"")",,,,,
"@Configuration
FileConfig",일단 보류,,"@PutMapping(""/"")",,,,,
WebSocketServer,알아서 처리,,"@DeleteMapping(""/"")",,,,,
,,,작성 대상/순서 : controller -> Mapper -> 일부 DTO -> service,,,,,
"@Controller 
@RequestMapping(""/movie"") 
MovieController","@GetMapping(""/list"")",public,void,getList,Model model,"session에 정보를 담아서 보내야함.
reservationDTO를 조립해 나간다고 생각해야함.",,
,"@PostMapping(""/detail"")",public,void,postDetail,"@RequestParam(“movie_id”) String id, Model model","받은 movie_id를 이용해서 movie 정보를 화면에 보여주기
schedule로 갈 때 movieDTO를 담아서 보내기",,
"@Controller
@RequestMapping(""/booking"")
BookingController","@PostMapping(""/schedule"")",public,void,postSchedule,"MovieDTO movieDTO, Model model","받은 movieDTO를 이용해서 schedule 정보를 화면에 보여주기
seat로 갈 때 scheduledDTO를 담아서 보내기",,
,"@PostMapping(""/seat"")",public,void,postSeat,"ScheduleDTO scheduleDTO, Model model",받은 scheduleDTO와 List<SeatDTO>의 정보를 합쳐서 reservation_details 작성,,
"@Controller
@RequestMapping(""/payment"")
PaymentController","@PostMapping(""/payment"")",public,void,postPayment,"ReservationDTO reservationDTO, Model model",예매내역을 받아서 이것저것 채워서 결제 정보를 저장하고 결과창으로 이동,,
,"@GetMapping(""/result"")",public,void,getResult,@RequestParam(“”),,,
"@Controller
"@Controller
@RequestMapping(""/admin/login"")
LoginController","@GetMapping(""/main"")",public,void,getMain,,로그인 화면 보여주기,,
,"@PostMapping(""/main"")",public,void,postMain,AdminDTO adminDTO,로그인과 관련된 처리,,
"@Controller
@RequestMapping(""/admin/statistics"")
StatisticsController","@GetMapping(""/dashboard"")",,,,,통계 대시보드,,
,"@GetMapping(""/stats/daily"")",,,,,일일 통계,,
,"@GetMapping(""/stats/monthly"")",,,,,월간 통계,,
,"@GetMapping(""/stats/by-day"")",,,,,요일 통계,,
,"@GetMapping(""/stats/by-hour"")",,,,,시간대별 통계,,
,"@GetMapping(""/stats/by-movie"")",,,,,영화별 통계,,
"@Controller
@RequestMapping(""/admin/management"")
ManagementController","@GetMapping(""/movie/list”)",,,,,,,
,"@GetMapping(""/movie/form”)",,,,,,,
,"@PostMapping(""/movie/form”)",,,,,,,
,"@GetMapping(""/movie/manage”)",,,,,,,
,"@postMapping(""/movie/manage”)",,,,,,,
,"@GetMapping(""/theater/list”)",,,,,,,
,"@GetMapping(""/theater/edit”)",,,,,,,
,"@PostMapping(""/theater/edit”)",,,,,,,
,"@GetMapping(""/seat/list”)",,,,,,,
,"@GetMapping(""/seat/edit”)",,,,,,,
,"@PostMapping(""/seat/edit”)",,,,,,,
,"@GetMapping(""/policy/list”)",,,,,,,
,"@GetMapping(""/policy/form”)",,,,,,,
,"@PostMapping(""/policy/form”)",,,,,,,
,"@GetMapping(""/policy/manage”)",,,,,,,
,"@postMapping(""/policy/manage”)",,,,,,,
"@Controller
@RequestMapping(""/admin/refund"")
RefundController","@GetMapping(""/”)",,,,,,,
"@RestController
@RequestMapping(""/auth"")
AuthContoller",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AuthServiece,,public,boolean,phoneAuth,String otpNum,핸드폰 인증을 위해서 사용. 받은 정보를 DB로 가져가서 확인. 포인트 사용 단계,,
,,public,AdminDTO,adminAuth,AdminDTO,관리자 로그인에 사용,,
SmsService,,public,boolean,sendOtp,null,인증을 위해서 otp를 발송하는 메서드,,
,,,,,,,,
,,,,,,,,
공통 사항 CRUD에서 Delete 제외한 나머지 정보들,,public,void,create,${객체}DTO,JPA사용,,
다수 추가?,,public,${객체}DTO,read,Long no,mybatis사용,,
다수 변경?,,public,List<${객체}DTO>,readAll,null,mybatis사용,,
삭제 필요?,,public,void,update,${객체}DTO,JPA사용,,
,,,,,,,,
LoginService,,,,,,"사실상 pin번호 변경 정도의 기능 > 로그인은 인증이 필요하니까...
Login기능 밖에 없기때문에 그냥 Login으로 ",,
MembersService,,,,,,,,
,,public,void,pointHistoryCreate,Long no,포인트 변경내역을 설정,,
,,public,void,pointHistoryCancel,Long no,환불할 경우 포인트 내역,,
MovieService,,public,void,finish (상영중단 이라서 finish),Long no,해당 영화의 상영 종료일을 오늘 23시 59분으로 설정,,
BonusPolicyService,,public,void,finish,Long no,해당 정책(이벤트)의 종료일을 오늘 23시 59분으로 설정 + 활성화여부 false,,
DiscountPolicyService,,public,void,finish,Long no,해당 정책(이벤트)의 종료일을 오늘 23시 59분으로 설정 + 활성화여부 false,,
,,public,void,create,Long no,특정 정책의 쿠폰을 발행하는 코드,,
,,public,void,updateDone,String no,쿠폰번호를 사용함으로,,
,,public,boolean,authCoupon,String no,"쿠폰번호 검증(맞는 이벤트인가, 사용기한내인가, 사용하기 전 쿠폰인가)",,
TheaterService,,,,,,여기는 create 기능 제외,,
,,public,void,createSeat,null,좌석 정책에 대한 정보를 추가,,
,,public,${객체}DTO,readSeat,Long no,좌석 정책 1개를 확인,,
,,public,List<${객체}DTO>,readAllSeat,null,좌석 정책 전체를 확인,,
,,public,void,updateSeat,${객체}DTO,좌석 정책 1개를 수정,,
,,public,void,deleteSeat,Long no,좌석 정책 1개를 삭제,,
ScheduleService,,public,void,delete,Long no,잘못 만든 스케쥴은 삭제가 필요하다,,
StatisticsService,,,,,,여긴 보류,,
ReservationService,,public,void,delete,Long no,임시로 자리만 잡은 대상은 필요 없음.,,
PaymentDetailsService,,public,void,cancel,Long no,"삭제 대신, 취소나 환불로 바꿔야함.",,
,,,,,,,,
,,,,,,,,
"외래키 없는 대상은 제외(노랑) 기본 CRUD만 사용하기 떄문에 
필요가 없을거같아서 표시",,,,,,,,
AdminMapper,,인터페이스로 제외,,,,,,
MembersMapper,,인터페이스로 제외,,,,,,
MovieMapper,,인터페이스로 제외,,,,,,
SeatPolicyMapper,,인터페이스로 제외,,,,,,
BonusPolicyMapper,,인터페이스로 제외,,,,,,
DiscountPolicyMapper,,인터페이스로 제외,,,,,,
TheaterMapper,,인터페이스로 제외,TheaterVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
ScheduleMapper,,인터페이스로 제외,ScheduleVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
StatisticsMapper,,인터페이스로 제외,StatisticsVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
ReservationDetailsMapper,,인터페이스로 제외,ReservationDetailsVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
"ReservationSeatMapper 
(예매 내역, 거래내역 에서 어차피 사용하니까 굳이 따로 CRUD 필요없음)",,인터페이스로 제외,ReservationSeatVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
PaymentDetailsMapper,,인터페이스로 제외,PaymentDetailsVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
PointHistoryMapper,,인터페이스로 제외,PointHistoryVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
CouponMapper,,인터페이스로 제외,CouponVO,selectByNo,Long no,no를 이용해서 VO 정보를 가져오는 기능,,
,,,,,,,,
기본 CRUD를 위해 모두 제작,,,,,,,,
AdminRepository,,인터페이스로 제외,,,,,,
MovieRepository,,인터페이스로 제외,,,,,,
ScheduleRepository,,인터페이스로 제외,,,,,,
TheaterRepository,,인터페이스로 제외,,,,,,
SeatPolicyRepository,,인터페이스로 제외,,,,,,
ReservationDetailsRepository,,인터페이스로 제외,,,,,,
"ReservationSeatRepository 
(예매 내역, 거래내역 에서 어차피 사용하니까 굳이 따로 CRUD 필요없음)",,인터페이스로 제외,,,,,,
PaymentDetailsRepository,,인터페이스로 제외,,,,,,
BonusPolicyRepository,,인터페이스로 제외,,,,,,
DiscountPolicyRepository,,인터페이스로 제외,,,,,,
PointHistoryRepository,,인터페이스로 제외,,,,,,
MembersRepository,,인터페이스로 제외,,,,,,
StatisticsRepository,,인터페이스로 제외,,,,,,
CouponRepository,,인터페이스로 제외,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AdminVO,,static public,AdminDTO,toDTO,AdminVO adminVO,,,
MembersVO,,static public,MembersDTO,toDTO,MembersVO membersVO,,,
MovieVO,,static public,MovieDTO,toDTO,MovieVO movieVO,,,
SeatPolicyVO,,static public,SeatPolicyDTO,toDTO,SeatPolicyVO seatPolicyVO,,,
BonusPolicyVO,,static public,BonusPolicyDTO,toDTO,BonusPolicyVO bonusPolicyVO,,,
DiscountPolicyVO,,static public,DiscountPolicyDTO,toDTO,DiscountPolicyVO discountPolicyVO,,,
TheaterVO,,static public,TheaterDTO,toDTO,TheaterVO theaterVO,,,
ScheduleVO,,static public,ScheduleDTO,toDTO,ScheduleVO scheduleVO,,,
StatisticsVO,,static public,StatisticsDTO,toDTO,StatisticsVO statisticsVO,,,
ReservationDetailsVO,,static public,ReservationDetailsDTO,toDTO,ReservationDetailsVO reservationDetailsVO,,,
ReservationSeatVO,,static public,ReservationSeatDTO,toDTO,ReservationSeatVO reservationSeatVO,,,
PaymentDetailsVO,,static public,PaymentDetailsDTO,toDTO,PaymentDetailsVO paymentDetailsVO,,,
PointHistoryVO,,static public,PointHistoryDTO,toDTO,PointHistoryVO pointHistoryVO,,,
CouponeVO,,static public,CouponeDTO,toDTO,CouponeVO couponeVO,,,
,,,,,,,,
AdminDTO,,static public,AdminVO,toVO,AdminDTO adminDTO,,,
MembersDTO,,static public,MembersVO,toVO,MembersVO membersVO,,,
MovieDTO,,static public,MovieVO,toVO,MovieVO movieVO,,,
SeatPolicyDTO,,static public,SeatPolicyVO,toVO,SeatPolicyVO seatPolicyVO,,,
BonusPolicyDTO,,static public,BonusPolicyVO,toVO,BonusPolicyVO bonusPolicyVO,,,
DiscountPolicyDTO,,static public,DiscountPolicyVO,toVO,DiscountPolicyVO discountPolicyVO,,,
TheaterDTO,,static public,TheaterVO,toVO,TheaterVO theaterVO,,,
ScheduleDTO,,static public,ScheduleVO,toVO,ScheduleDTO scheduleDTO,,,
StatisticsDTO,,static public,StatisticsVO,toVO,StatisticsDTO statisticsDTO,,,
ReservationDetailsDTO,,static public,ReservationDetailsVO,toVO,ReservationDetailsDTO reservationDetailsDTO,,,
ReservationSeatDTO,,static public,ReservationSeatVO,toVO,ReservationSeatDTO reservationSeatDTO,,,
PaymentDetailsDTO,,static public,PaymentDetailsVO,toVO,PaymentDetailsDTO paymentDetailsDTO,,,
PointHistoryDTO,,static public,PointHistoryVO,toVO,PointHistoryDTO pointHistoryDTO,,,
CouponeDTO,,static public,CouponeVO,toVO,CouponeDTO couponeDTO,,,